Seq Barcode	Well	Status	Found	Quality Score	Manual Call
TX_NEO_QC_TF23JUN22_A08_EMPTY.ab1	A8	match	Clone 1	59.1	
TX_NEO_QC_TF23JUN22_E10_EMPTY.ab1	E10	match	Clone 2	61.85	
TX_NEO_QC_TF23JUN22_G12_EMPTY.ab1	G12	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_D07_EMPTY.ab1	D7	match	Clone 3	61.55	
TX_NEO_QC_TF23JUN22_G11_EMPTY.ab1	G11	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_D12_EMPTY.ab1	D12	MCS	MCS	0.0	
TX_NEO_QC_TF23JUN22_G09_EMPTY.ab1	G9	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_H10_EMPTY.ab1	H10	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_B05_EMPTY.ab1	B5	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_D04_EMPTY.ab1	D4	match	Clone 3	61.6	
TX_NEO_QC_TF23JUN22_G08_EMPTY.ab1	G8	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_A11_EMPTY.ab1	A11	match	Clone 1	60.8	
TX_NEO_QC_TF23JUN22_A09_EMPTY.ab1	A9	match	Clone 1	60.4	
TX_NEO_QC_TF23JUN22_B11_EMPTY.ab1	B11	match	Clone 1	60.65	
TX_NEO_QC_TF23JUN22_E05_EMPTY.ab1	E5	match	Clone 2	52.45	
TX_NEO_QC_TF23JUN22_A03_EMPTY.ab1	A3	match	Clone 1	61.55	
TX_NEO_QC_TF23JUN22_E04_EMPTY.ab1	E4	match	Clone 2	61.45	
TX_NEO_QC_TF23JUN22_H12_EMPTY.ab1	H12	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_C04_EMPTY.ab1	C4	match	Clone 3	59.65	
TX_NEO_QC_TF23JUN22_D10_EMPTY.ab1	D10	match	Clone 3	61.6	
TX_NEO_QC_TF23JUN22_H08_EMPTY.ab1	H8	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_G06_EMPTY.ab1	G6	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_A06_EMPTY.ab1	A6	MCS	MCS	0.0	
TX_NEO_QC_TF23JUN22_H03_EMPTY.ab1	H3	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_B06_EMPTY.ab1	B6	MCS	MCS	0.0	
TX_NEO_QC_TF23JUN22_C08_EMPTY.ab1	C8	MCS	MCS	0.0	
TX_NEO_QC_TF23JUN22_H07_EMPTY.ab1	H7	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_B02_EMPTY.ab1	B2	match	Clone 1	60.4	
TX_NEO_QC_TF23JUN22_D05_EMPTY.ab1	D5	match	Clone 3	51.1	
TX_NEO_QC_TF23JUN22_B09_EMPTY.ab1	B9	match	Clone 1	61.55	
TX_NEO_QC_TF23JUN22_F09_EMPTY.ab1	F9	match	Clone 2	59.05	
TX_NEO_QC_TF23JUN22_B04_EMPTY.ab1	B4	match	Clone 1	60.95	
TX_NEO_QC_TF23JUN22_G01_EMPTY.ab1	G1	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_E06_EMPTY.ab1	E6	match	Clone 2	62.0	
TX_NEO_QC_TF23JUN22_F12_EMPTY.ab1	F12	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_E03_EMPTY.ab1	E3	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_B01_EMPTY.ab1	B1	MCS	MCS	0.0	
TX_NEO_QC_TF23JUN22_F04_EMPTY.ab1	F4	match	Clone 2	59.55	
TX_NEO_QC_TF23JUN22_A07_EMPTY.ab1	A7	MCS	MCS	0.0	
TX_NEO_QC_TF23JUN22_A10_EMPTY.ab1	A10	match	Clone 1	61.7	
TX_NEO_QC_TF23JUN22_G10_EMPTY.ab1	G10	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_F11_EMPTY.ab1	F11	match	Clone 2	61.85	
TX_NEO_QC_TF23JUN22_C06_EMPTY.ab1	C6	MCS	MCS	0.0	
TX_NEO_QC_TF23JUN22_A05_EMPTY.ab1	A5	match	Clone 1	61.3	
TX_NEO_QC_TF23JUN22_H05_EMPTY.ab1	H5	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_B10_EMPTY.ab1	B10	match	Clone 1	61.7	
TX_NEO_QC_TF23JUN22_A02_EMPTY.ab1	A2	match	Clone 1	61.3	
TX_NEO_QC_TF23JUN22_D03_EMPTY.ab1	D3	match	Clone 3	50.4	
TX_NEO_QC_TF23JUN22_C01_EMPTY.ab1	C1	match	Clone 3	61.85	
TX_NEO_QC_TF23JUN22_H01_EMPTY.ab1	H1	no match	no match	0.0	
TX_NEO_QC_TF23JUN22_A04_EMPTY.ab1	A4	match	Clone 1	61.7	
TX_NEO_QC_TF23JUN22_C09_EMPTY.ab1	C9	MCS	MCS	0.0	
